Отметка времени,Ваш пол,Сколько вам было лет на момент поступления ,В каком городе вы проживали на момент поступления? Введите полное наименование города,Поступаете после 11 класса или после колледжа,Какой у вас был средний балл аттестата,Какие предметы вы любили и хотели изучать в школе,Какие предметы были углубленными,Какие предм,Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ ,Математика(Количество баллов),Русский(Количество баллов),Первый предмет на выбор(Количество баллов),Второй предмет на выбор (Если не сдавали пропустите вопрос),Насколько хорошо вы знаете английский,"Был ли у вас опыт работы в каких областях, приближенных к выбранному направлению? Если был напишите область, в противном случае оставьте вопрос пустым",Ваш факультет в ВУЗе,Ваше направление,"Насколько вы довольны программой (или были довольны, если перевелись) выбранного направления. Очень просим дать объективный ответ именно по поводу программы обучения, не опираясь на личный опыт, преподавательский или студенческий состав!","Насколько сильно вы хотели принимать участие в различных общественных, спортивных мероприятиях, и прочих внеучебных активностях",Насколько вы спортивный человек,Насколько вам было важно поступить на бюджет,Ходили ли вы на день открытых дверей в МТУСИ,Как вы оцениваете свои способности в самоорганизации учебного процесса,Занимались ли вы с репетиторами во время обучения в старших классах,"Углубленное изучение каких предметов у вас было в школе(Если не было, пропустите вопрос)",Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ,Были ли у вас успехи в олимпиадах по техническим предметам серьезного уровня (региональные и выше) в старших классах,Чем из перечисленного ниже вы интересовались до поступления в университет,Как много времени вы готовы уделять на саморазвитие в интересующей вас предметной области? (Помимо учебных часов) ,Как вы поступали?,Был ли у вас опыт работы при,Если сдавали больше предметов добавьте баллы через запятую,"Сколько получили за каждый предмет, введите в той же последовательности, что и выбрали",,,Вопрос без заголовка
23.03.2023 18:40:05,Мужской,19,Якутск,После 11 класса,4,"Иностранный язык, Астрономия, Информатика",,,,40,61,62,Физика,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),15.03.04 Автоматизация технологических процессов и производств,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Информатика","Физика, Информатика",Нет,"Робототехника, Инженерная деятельность",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 18:40:35,Женский,19,Алматы,После колледжа,5,"Математика, Информатика",,,,70,82,98,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,,Нет,Программирование,Несколько часов в неделю,Вступительные испытания,,,,,,
23.03.2023 18:53:09,Мужской,18,Москва,После 11 класса,4.5,"Математика, Информатика",,,,76,82,78,,"Могу коммуницировать с носителями, частично знаю деловую речь",,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,8,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника, Инженерная деятельность",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 18:53:18,Мужской,19,Брянск,После 11 класса,4.5,"Математика, История, Информатика",,,,,,,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,,"История, Физика, География, Обществознание, Информатика",Нет,"Программирование, Инженерная деятельность",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 18:53:46,Мужской,17,Тула,После 11 класса,4,Информатика,,,,78,91,80,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,5,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,,Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 18:53:48,Мужской,18,Москва,После 11 класса,4.5,"Математика, Физика, Информатика",,,,82,70+-,72,97,Обладаю базовым словарным запасом,,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,0,Только учеба,Предпочитаю лишний раз не двигаться,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,,"Физика, Информатика",Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 18:55:04,Мужской,18,Москва,После 11 класса,4,Информатика,,,,72,82,95,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.03 Прикладная информатика,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Да,Готов почитать несколько статей по теме предмета,Нет,Информатика,Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:01:07,Женский,18,Курск,После 11 класса,4.5,"Математика, Информатика",,,,86,75,85,,"Могу коммуницировать с носителями, частично знаю деловую речь",,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,0,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:01:27,Мужской,17,Чебоксары,После 11 класса,5,"Иностранный язык, История, География, Обществознание",,,,80,88,70,,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),09.03.03 Прикладная информатика,0,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,Физика,Да,Инженерная деятельность,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:03:08,Мужской,17,Балашиха ,После 11 класса,5,"Русский язык, Математика, Иностранный язык, История, Физика, География",,,,74,91,61,78,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,5,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,Математика,"Физика, Обществознание",Нет,Эксперименты (лабораторные опыты) связанные с химией/физикой,Минимальное количество времени,Баллы ЕГЭ,,,,,,
23.03.2023 19:13:18,Женский,17,Москва ,После 11 класса,4.5,"Математика, Химия, Информатика",,,,74,73,90,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Изучу всё связанное с темой предмета,Нет,,Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:13:55,Женский,17,Москва,После 11 класса,4.5,"Русский язык, Информатика",,,,,,,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,Иностранный язык,"География, Обществознание, Информатика",Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:19:17,Мужской,17,Краснодар,После 11 класса,4,"Русский язык, Математика, Обществознание, Информатика",,,,52,78,54,48,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,5,По возможности хотел бы участвовать регулярно,Нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,Русский язык,"Обществознание, Информатика",Нет,"Программирование, Инженерная деятельность",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:21:39,Мужской,17,Душанбе Таджикистан,После 11 класса,4.5,"Русский язык, Литература, Иностранный язык, Биология, География, Информатика",,,,,,,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ЦЭиМК (Цифровая экономика и массовые коммуникации),38.03.05 Бизнес-информатика,5,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Изучу всё связанное с темой предмета,Да,,,Нет,"Программирование, Инженерная деятельность",Несколько часов в неделю,Другое,,,,,,
23.03.2023 19:31:41,Женский,20,Москва ,После 11 класса,4.5,"Русский язык, Математика, Иностранный язык",,,,80,76,Английский язык 78,Информатика 75,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),15.03.04 Автоматизация технологических процессов и производств,4,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Иностранный язык,"Иностранный язык, Информатика",Нет,,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:36:56,Женский,21,Москва ,После колледжа,4.5,История,,,,,,,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),15.03.04 Автоматизация технологических процессов и производств,6,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,,Нет,"Компьютерное 3D-моделирование, Инженерная деятельность",Несколько часов в неделю,Вступительные испытания,,,,,,
23.03.2023 19:39:57,Мужской,17,Москва,После 11 класса,4,"Математика, Иностранный язык, Информатика",,,,56,90,85,,"Могу коммуницировать с носителями, частично знаю деловую речь",,КиИБ (Кибернетика и информационная безопасность),15.03.04 Автоматизация технологических процессов и производств,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика",Информатика,Нет,"Программирование, Инженерная деятельность",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:42:25,Женский,18,Кемерово,После 11 класса,4,"Литература, Иностранный язык, Информатика",,,,68,77,59,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,6,Только учеба,Предпочитаю лишний раз не двигаться,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:43:11,Мужской,18,Павловский посад,После 11 класса,4,"Математика, Иностранный язык, Астрономия, Информатика",,,,59,62,40,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,10,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Да,Компьютерное 3D-моделирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:49:41,Женский,19,Братск,После 11 класса,5,"Русский язык, Литература, Иностранный язык, Обществознание",,,,-,80,70,60,Могу читать несложные диалоги,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,5,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не очень важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Русский язык, Математика, История, Химия, География, Обществознание","Литература, История, Обществознание",Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:49:46,Женский,17,Будапешт,После 11 класса,4.5,"Русский язык, Математика, Иностранный язык, Физика, Астрономия",,,,30,70,60,80,"Свободно общаюсь, глубоко знаю грамматику",,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,6,Только учеба,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,Иностранный язык,"Иностранный язык, Обществознание",Нет,,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:49:47,Мужской,18,Якутск,После 11 класса,4.5,"Литература, Иностранный язык",,,,56,98,58,77,"Свободно общаюсь, глубоко знаю грамматику",,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Иностранный язык, Физика, Информатика","Физика, Информатика",Нет,Компьютерное 3D-моделирование,Несколько часов в неделю,Другое,,,,,,
23.03.2023 19:52:36,Мужской,18,Советский,После 11 класса,4.5,"Математика, Информатика",,,,Не помню,Не помню,Не помню,Не помню,"Могу коммуницировать с носителями, частично знаю деловую речь",,КиИБ (Кибернетика и информационная безопасность),15.03.04 Автоматизация технологических процессов и производств,4,По возможности хотел бы участвовать регулярно,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика, Информатика","Физика, Информатика",Да,"Программирование, Компьютерное 3D-моделирование, Робототехника",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 19:53:43,Женский,17,Мелитополь ,После 11 класса,4,"Русский язык, Литература, История",,,,,,,,Могу общаться в повседневных ситуациях,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не очень важно,Нет,Изучу всё связанное с темой предмета,Да,Математика,,Нет,Компьютерное 3D-моделирование,Больше 10 часов в неделю,Вступительные испытания,,,,,,
23.03.2023 19:57:37,Мужской,17,Москва ,После 11 класса,3.5,"Иностранный язык, Биология, Обществознание",,,,23,60,70,60,"Могу коммуницировать с носителями, частично знаю деловую речь",,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,6,Только учеба,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Иностранный язык","Иностранный язык, Обществознание",Нет,,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:01:16,Женский,18,Москва,После 11 класса,4.5,"Русский язык, Литература, Биология, География",,,,,75,63,72,Могу общаться в повседневных ситуациях,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,7,"Все возможные мероприятия, на которые хватает времени",Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Иностранный язык, Обществознание","Иностранный язык, Обществознание",Нет,,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:02:00,Женский,19,Одинцово,После 11 класса,5,"Русский язык, Математика, Обществознание, Информатика",,,,72,98,63,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Русский язык, Математика, Литература, Обществознание",Информатика,Нет,,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:02:15,Мужской,17,Екатеринбург,После 11 класса,4.5,"Иностранный язык, Физика, Астрономия, Информатика",,,,81,76,90,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),01.03.04 Прикладная математика,7,По возможности хотел бы участвовать регулярно,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика",Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:02:55,Мужской,18,Москва,После 11 класса,4.5,"Математика, Иностранный язык, Физика, Астрономия, Информатика",,,,68,90,68,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),15.03.04 Автоматизация технологических процессов и производств,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,,Физика,Нет,"Программирование, Робототехника",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:04:42,Мужской,17,Подольск,После 11 класса,4.5,"География, Обществознание",,,,34,78,78,,Могу общаться в повседневных ситуациях,,ЦЭиМК (Цифровая экономика и массовые коммуникации),38.03.05 Бизнес-информатика,6,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не очень важно,Да,Максимум - выполнение дома заданий от преподавателя,Нет,"Русский язык, Математика, Физика, Информатика",Обществознание,Нет,Компьютерное 3D-моделирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:09:28,Женский,18,Владикавказ,После 11 класса,4.5,"Астрономия, Обществознание, Информатика",,,,,,,,Обладаю базовым словарным запасом,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,2,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,,"Литература, История, Обществознание",Нет,,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:12:17,Мужской,18,Москва,После 11 класса,4,Литература,,,,5,70,55,66,Могу общаться в повседневных ситуациях,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,6,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не принципиально,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика","Иностранный язык, Обществознание",Нет,Эксперименты (лабораторные опыты) связанные с химией/физикой,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:12:56,Женский,18,Рязань ,После 11 класса,4,"Иностранный язык, Обществознание",,,,,90,Немецкий 56,Обществознание 72,Могу общаться в повседневных ситуациях,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,7,Только учеба,Предпочитаю лишний раз не двигаться,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Иностранный язык, Обществознание","Иностранный язык, Обществознание",Нет,,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:14:08,Женский,17,Москва,После 11 класса,4.5,Информатика,,,,24,78,62,52,Обладаю базовым словарным запасом,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,8,Только учеба,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Готов почитать несколько статей по теме предмета,Нет,,"Обществознание, Информатика",Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:14:40,Женский,18,Домодедово,После 11 класса,4.5,"Математика, Иностранный язык, Биология",,,,,70,69,64,Могу общаться в повседневных ситуациях,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,6,Только учеба,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Иностранный язык, Химия, Биология, Обществознание","Иностранный язык, Обществознание",Нет,Эксперименты (лабораторные опыты) связанные с химией/физикой,Минимальное количество времени,Баллы ЕГЭ,,,,,,
23.03.2023 20:21:24,Мужской,18,Ростов-на-Дону,После 11 класса,4.5,"Математика, Иностранный язык, История, Биология, География",,,,70,80,88,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,7,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Нет,Изучу всё связанное с темой предмета,Да,Математика,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Минимальное количество времени,Баллы ЕГЭ,,,,,,
23.03.2023 20:29:13,Мужской,17,Москва,После 11 класса,5,"Математика, Иностранный язык, Биология, География, Информатика",,,,94,96,77,,"Могу коммуницировать с носителями, частично знаю деловую речь",,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,6,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Астрономия",Информатика,Нет,,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:30:38,Женский,17,Ибреси ,После 11 класса,4.5,"Русский язык, Литература, Обществознание",,,,72,82,80,,Обладаю базовым словарным запасом,,ЦЭиМК (Цифровая экономика и массовые коммуникации),38.03.05 Бизнес-информатика,3,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Не принципиально,Да,Изучу всё связанное с темой предмета,Да,"Иностранный язык, Обществознание",Обществознание,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:39:30,Мужской,17,Курск,После 11 класса,5,"Русский язык, Математика, История",,,,82,94,83,65,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,"Физика, Информатика",Да,,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:41:03,Мужской,18,москва,Перевод из другого учебного заведения,4.5,"Математика, Физика, Информатика",,,,,,,,Могу читать несложные диалоги,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),4,Только учеба,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Математика, Физика, Информатика",,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:45:22,Женский,18,Москва,После 11 класса,4,"Иностранный язык, География",,,,-,75,60,60,Могу общаться в повседневных ситуациях,,ЦЭиМК (Цифровая экономика и массовые коммуникации),42.03.01 Реклама и связи с общественностью,3,Только учеба,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Русский язык, Литература, История, Обществознание","Иностранный язык, Обществознание",Нет,Компьютерное 3D-моделирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:45:40,Мужской,18,Подмосковье,После 11 класса,4.5,Информатика,,,,,,,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,3,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Не очень важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Математика,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:50:45,Женский,18,Москва,После 11 класса,4,"Русский язык, Иностранный язык, Информатика",,,,62,76,90,93,"Свободно общаюсь, глубоко знаю грамматику",,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,7,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Да,Максимум - выполнение дома заданий от преподавателя,Да,Обществознание,"Иностранный язык, Информатика",Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:51:47,Женский,18,Краснодар,После 11 класса,5,"Литература, Иностранный язык, Химия, Обществознание, Информатика",,,,68,85,83,62,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,4,"Все возможные мероприятия, на которые хватает времени",Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Русский язык, Математика, Физика, Информатика","Физика, Информатика",Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:57:14,Мужской,18,Москва ,После 11 класса,4.5,"Обществознание, Информатика",,,,,,,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Да,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика","Физика, Информатика",Нет,"Программирование, Инженерная деятельность",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 20:57:44,Мужской,22,Москва ,После 11 класса,4,"Математика, Химия, Физика, Информатика",,,,,,,,Могу читать несложные диалоги,,ИТ (Информационные технологии),10.03.01 Информационная безопасность,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Математика,"Физика, Информатика",Да,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 21:05:31,Мужской,18,Москва,После 11 класса,4.5,"Математика, Литература, Физика, Информатика",,,,70,96,80,64,"Могу коммуницировать с носителями, частично знаю деловую речь",,КиИБ (Кибернетика и информационная безопасность),10.03.01 Информационная безопасность,2,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Обязательно,Да,Готов почитать несколько статей по теме предмета,Нет,Иностранный язык,"Физика, Информатика",Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 21:06:38,Мужской,18,Черемшан,После 11 класса,4.5,"Математика, Литература, Информатика",,,,86,80,98,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.03 Прикладная информатика,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 21:27:37,Мужской,18,Сольвычегодск ( Архангельская обл Котласский район),После 11 класса,5,"Математика, Литература, История, Физика, География, Информатика",,,,80,78,83,66,"Могу коммуницировать с носителями, частично знаю деловую речь",,КиИБ (Кибернетика и информационная безопасность),27.03.04 Управление в технических системах,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,"Физика, Информатика",Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
23.03.2023 21:46:56,Мужской,17,Подольск,После 11 класса,4,"Русский язык, Математика, Информатика",,,,72,84,85,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
